,Area_Name,Year,Sub_Group_Name,Cases_Acquitted_or_Discharged,Cases_charge_sheets_were_not_laid_but_Final_Report_submitted,Cases_Chargesheeted,Cases_Compounded_or_Withdrawn,Cases_Convicted,Cases_Declared_False_on_Account_of_Mistake_of_Fact_or_of_Law,Cases_Investigated_Chargesheets+FR_Submitted,Cases_not_Investigated_or_in_which_investigation_was_refused,Cases_Pending_Investigation_at_Year_End,Cases_Pending_Investigation_from_previous_year,Cases_Pending_Trial_at_Year_End,Cases_Pending_Trial_from_the_previous_year,Cases_Reported,Cases_Sent_for_Trial,Cases_Trials_Completed,Cases_Withdrawn_by_the_Govt,Cases_withdrawn_by_the_Govt_during_investigation,Total_Cases_for_Trial,Persons_Acquitted,Persons_against_whom_cases_Compounded_or_Withdrawn,Persons_Arrested,Persons_Chargesheeted,Persons_Convicted,Persons_in_Custody_or_on_Bail_during_Investigation_at_Year_beginning,Persons_in_Custody_or_on_Bail_during_Investigation_at_Year_end,Persons_in_Custody_or_on_Bail_during_Trial_at_Year_End,Persons_Released_or_Freed_by_Police_or_Magistrate_before_Trial_for_want_of_evidence_or_any_other_reason,Persons_Trial_Completed,Persons_under_Trial_at_Year_beginning,Total_Persons_under_Trial
2338,Rajasthan,2007,07. Importation of Girls,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,2,2
2339,Sikkim,2007,07. Importation of Girls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2340,Tamil Nadu,2007,07. Importation of Girls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2341,Tripura,2007,07. Importation of Girls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2342,Uttar Pradesh,2007,07. Importation of Girls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2343,Uttarakhand,2007,07. Importation of Girls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2344,West Bengal,2007,07. Importation of Girls,4,4,17,0,0,0,21,0,27,43,27,14,5,17,4,0,0,31,10,0,8,44,0,61,17,63,8,10,29,73
2345,Andaman & Nicobar Islands,2008,07. Importation of Girls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2346,Andhra Pradesh,2008,07. Importation of Girls,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,2,2
2347,Arunachal Pradesh,2008,07. Importation of Girls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2348,Assam,2008,07. Importation of Girls,2,0,0,0,0,0,0,0,0,0,1,3,0,0,2,0,0,3,2,0,0,0,0,0,0,1,0,2,3,3
2349,Bihar,2008,07. Importation of Girls,24,3,39,0,3,0,42,0,30,50,210,198,22,39,27,0,0,237,37,0,56,64,4,58,50,426,0,41,403,467
2350,Chandigarh,2008,07. Importation of Girls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2351,Chhattisgarh,2008,07. Importation of Girls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2352,Dadra & Nagar Haveli,2008,07. Importation of Girls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2353,Daman & Diu,2008,07. Importation of Girls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2354,Delhi,2008,07. Importation of Girls,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2355,Goa,2008,07. Importation of Girls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2356,Gujarat,2008,07. Importation of Girls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2357,Haryana,2008,07. Importation of Girls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2358,Himachal Pradesh,2008,07. Importation of Girls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2359,Jammu & Kashmir,2008,07. Importation of Girls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2360,Jharkhand,2008,07. Importation of Girls,19,11,26,2,4,8,37,0,8,14,7,6,39,26,23,0,0,32,19,0,63,61,4,0,2,39,0,23,1,62
2361,Karnataka,2008,07. Importation of Girls,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2362,Kerala,2008,07. Importation of Girls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2363,Lakshadweep,2008,07. Importation of Girls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2364,Madhya Pradesh,2008,07. Importation of Girls,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,4,4
2365,Maharashtra,2008,07. Importation of Girls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2366,Manipur,2008,07. Importation of Girls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2367,Meghalaya,2008,07. Importation of Girls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2368,Mizoram,2008,07. Importation of Girls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2369,Nagaland,2008,07. Importation of Girls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2370,Odisha,2008,07. Importation of Girls,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0
2371,Puducherry,2008,07. Importation of Girls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2372,Punjab,2008,07. Importation of Girls,0,2,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0
2373,Rajasthan,2008,07. Importation of Girls,1,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,2,1,0,0,0,0,0,0,1,0,1,2,2
2374,Sikkim,2008,07. Importation of Girls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2375,Tamil Nadu,2008,07. Importation of Girls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2376,Tripura,2008,07. Importation of Girls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2377,Uttar Pradesh,2008,07. Importation of Girls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2378,Uttarakhand,2008,07. Importation of Girls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2379,West Bengal,2008,07. Importation of Girls,11,11,5,0,1,0,16,0,16,27,20,27,5,5,12,0,0,32,29,5,6,13,1,17,2,41,8,30,63,76
2380,Andaman & Nicobar Islands,2009,07. Importation of Girls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2381,Andhra Pradesh,2009,07. Importation of Girls,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,2,2
2382,Arunachal Pradesh,2009,07. Importation of Girls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2383,Assam,2009,07. Importation of Girls,0,0,1,0,0,0,1,0,0,0,2,1,1,1,0,0,0,2,0,0,1,1,0,0,0,2,0,0,1,2
2384,Bihar,2009,07. Importation of Girls,2,0,23,0,4,5,23,0,33,30,227,210,31,23,6,0,0,233,6,0,17,36,8,50,31,448,0,14,426,462
2385,Chandigarh,2009,07. Importation of Girls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2386,Chhattisgarh,2009,07. Importation of Girls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2387,Dadra & Nagar Haveli,2009,07. Importation of Girls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2388,Daman & Diu,2009,07. Importation of Girls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2389,Delhi,2009,07. Importation of Girls,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2390,Goa,2009,07. Importation of Girls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2391,Gujarat,2009,07. Importation of Girls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2392,Haryana,2009,07. Importation of Girls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2393,Himachal Pradesh,2009,07. Importation of Girls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2394,Jammu & Kashmir,2009,07. Importation of Girls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2395,Jharkhand,2009,07. Importation of Girls,2,3,7,0,2,0,10,0,4,8,10,7,6,7,4,0,0,14,5,0,20,5,4,2,17,35,0,9,39,44
2396,Karnataka,2009,07. Importation of Girls,0,0,0,0,0,0,0,0,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2397,Kerala,2009,07. Importation of Girls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2398,Lakshadweep,2009,07. Importation of Girls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2399,Madhya Pradesh,2009,07. Importation of Girls,0,0,1,0,0,0,1,0,0,0,3,2,1,1,0,0,0,3,0,0,2,2,0,0,0,6,0,0,4,6
2400,Maharashtra,2009,07. Importation of Girls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2401,Manipur,2009,07. Importation of Girls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2402,Meghalaya,2009,07. Importation of Girls,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,2,2,0,0,0,2,0,0,0,2
2403,Mizoram,2009,07. Importation of Girls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2404,Nagaland,2009,07. Importation of Girls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2405,Odisha,2009,07. Importation of Girls,0,0,0,0,0,1,0,0,0,0,12,12,1,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0
2406,Puducherry,2009,07. Importation of Girls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2407,Punjab,2009,07. Importation of Girls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2408,Rajasthan,2009,07. Importation of Girls,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1
2409,Sikkim,2009,07. Importation of Girls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2410,Tamil Nadu,2009,07. Importation of Girls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2411,Tripura,2009,07. Importation of Girls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2412,Uttar Pradesh,2009,07. Importation of Girls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2413,Uttarakhand,2009,07. Importation of Girls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2414,West Bengal,2009,07. Importation of Girls,11,2,9,0,0,0,11,0,10,16,18,20,5,9,11,0,0,29,17,4,7,4,0,2,4,24,1,17,41,45
2415,Andaman & Nicobar Islands,2010,07. Importation of Girls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2416,Andhra Pradesh,2010,07. Importation of Girls,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,2,2
2417,Arunachal Pradesh,2010,07. Importation of Girls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2418,Assam,2010,07. Importation of Girls,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,2,2
2419,Bihar,2010,07. Importation of Girls,5,1,9,0,1,0,10,0,31,33,230,227,8,9,6,0,0,236,10,0,26,18,1,31,39,455,0,11,448,466
2420,Chandigarh,2010,07. Importation of Girls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2421,Chhattisgarh,2010,07. Importation of Girls,0,0,2,0,0,0,2,0,0,0,2,0,2,2,0,0,0,2,0,0,5,5,0,0,0,5,0,0,0,5
2422,Dadra & Nagar Haveli,2010,07. Importation of Girls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2423,Daman & Diu,2010,07. Importation of Girls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2424,Delhi,2010,07. Importation of Girls,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2425,Goa,2010,07. Importation of Girls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2426,Gujarat,2010,07. Importation of Girls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2427,Haryana,2010,07. Importation of Girls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2428,Himachal Pradesh,2010,07. Importation of Girls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2429,Jammu & Kashmir,2010,07. Importation of Girls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2430,Jharkhand,2010,07. Importation of Girls,1,2,3,0,3,0,5,0,7,4,9,10,8,3,4,0,0,13,5,0,15,20,5,17,12,45,0,10,35,55
2431,Karnataka,2010,07. Importation of Girls,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2432,Kerala,2010,07. Importation of Girls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2433,Lakshadweep,2010,07. Importation of Girls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2434,Madhya Pradesh,2010,07. Importation of Girls,1,0,5,0,0,0,5,0,0,0,7,3,5,5,1,0,0,8,2,0,19,19,0,0,0,23,0,2,6,25
2435,Maharashtra,2010,07. Importation of Girls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2436,Manipur,2010,07. Importation of Girls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2437,Meghalaya,2010,07. Importation of Girls,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,2,2,2
2438,Mizoram,2010,07. Importation of Girls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2439,Nagaland,2010,07. Importation of Girls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2440,Odisha,2010,07. Importation of Girls,0,0,2,0,0,0,2,0,3,0,14,12,5,2,0,0,0,14,0,0,5,5,0,0,0,5,0,0,0,5
2441,Puducherry,2010,07. Importation of Girls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2442,Punjab,2010,07. Importation of Girls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2443,Rajasthan,2010,07. Importation of Girls,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1
2444,Sikkim,2010,07. Importation of Girls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2445,Tamil Nadu,2010,07. Importation of Girls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2446,Tripura,2010,07. Importation of Girls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2447,Uttar Pradesh,2010,07. Importation of Girls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2448,Uttarakhand,2010,07. Importation of Girls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2449,West Bengal,2010,07. Importation of Girls,8,0,8,0,0,0,8,0,10,10,18,18,8,8,8,0,0,26,19,0,11,8,0,4,7,13,0,19,24,32
3850,Andaman & Nicobar Islands,2001,12. Total Crimes Against Women,14,6,40,0,0,0,46,0,6,18,170,144,34,40,14,0,0,184,16,0,34,49,0,33,18,204,0,16,171,220
3851,Andhra Pradesh,2001,12. Total Crimes Against Women,6773,236,13848,1849,4765,2067,14084,88,4266,4028,18625,18205,16477,13848,11538,41,0,32012,10962,2588,22218,19991,4142,5485,6862,29935,850,15104,27636,47627
3852,Arunachal Pradesh,2001,12. Total Crimes Against Women,12,22,138,7,36,0,160,0,49,29,684,601,180,138,48,0,0,739,15,9,218,169,40,70,70,854,49,55,749,918
3853,Assam,2001,12. Total Crimes Against Women,1289,1031,2115,154,302,322,3146,4,4919,4148,6984,6614,4243,2115,1591,0,0,8729,1859,234,5497,3120,410,3930,4700,10002,1607,2269,9385,12505
3854,Bihar,2001,12. Total Crimes Against Women,1760,627,4307,196,768,401,4934,0,3114,3093,15080,13497,5356,4307,2528,0,0,17804,5052,611,13034,10975,1495,5878,6319,39450,1618,6547,35633,46608
3855,Chandigarh,2001,12. Total Crimes Against Women,45,24,95,0,28,30,119,0,43,42,265,243,150,95,73,0,0,338,99,0,174,199,42,78,24,679,29,141,621,820
3856,Chhattisgarh,2001,12. Total Crimes Against Women,1057,64,4004,466,619,27,4068,4,190,300,14963,13101,3989,4004,1676,0,0,17105,1613,669,5312,5426,1108,199,81,21449,4,2721,19413,24839
3857,Dadra & Nagar Haveli,2001,12. Total Crimes Against Women,4,3,20,0,2,0,23,0,7,11,63,49,19,20,6,0,0,69,15,0,24,25,2,6,5,105,0,17,97,122
3858,Daman & Diu,2001,12. Total Crimes Against Women,6,2,8,0,0,0,10,0,2,2,12,10,10,8,6,0,0,18,15,0,42,46,0,7,1,55,2,15,24,70
3859,Delhi,2001,12. Total Crimes Against Women,1175,705,1615,0,813,200,2320,0,1392,1621,4592,4965,2291,1615,1988,0,0,6580,774,0,3124,2906,883,915,997,13190,136,1657,11941,14847
3860,Goa,2001,12. Total Crimes Against Women,88,11,81,8,89,1,92,0,22,32,194,298,83,81,177,0,0,379,166,10,186,191,151,39,30,379,4,317,515,706
3861,Gujarat,2001,12. Total Crimes Against Women,2351,232,5418,425,147,255,5650,18,346,464,29120,26625,5805,5418,2498,0,0,32043,6062,842,13464,13740,256,912,615,68189,21,6318,61609,75349
3862,Haryana,2001,12. Total Crimes Against Women,1787,337,2576,24,745,495,2913,0,336,351,7424,7404,3393,2576,2532,0,0,9980,4345,11,5845,5844,1209,354,346,17320,9,5554,17041,22885
3863,Himachal Pradesh,2001,12. Total Crimes Against Women,403,13,763,168,65,146,776,0,148,180,2665,2540,890,763,468,2,0,3301,688,325,1372,1343,87,175,167,4814,37,775,4571,5914
3864,Jammu & Kashmir,2001,12. Total Crimes Against Women,731,57,1430,117,103,232,1487,1,457,521,4831,4352,1656,1430,834,0,0,5782,1470,224,2424,2390,104,46,8,11379,72,1574,10787,13177
3865,Jharkhand,2001,12. Total Crimes Against Women,998,238,1909,61,319,68,2147,3,737,726,5185,4654,2229,1909,1317,0,0,6563,1928,193,3750,3718,805,1994,1655,9595,371,2733,8803,12521
3866,Karnataka,2001,12. Total Crimes Against Women,2540,326,5528,583,1438,402,5854,64,999,1317,11453,10509,6002,5528,3978,23,0,16014,6251,932,9819,9527,2298,1313,1157,19754,448,8549,19708,29235
3867,Kerala,2001,12. Total Crimes Against Women,1868,73,4619,543,265,452,4692,65,1691,1450,14799,12856,5450,4619,2133,0,0,17475,3661,764,8076,7903,339,1847,1920,24633,100,4000,21494,29397
3868,Lakshadweep,2001,12. Total Crimes Against Women,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1
3869,Madhya Pradesh,2001,12. Total Crimes Against Women,6040,437,13924,3054,2960,53,14361,10,793,821,42938,41134,14549,13924,9000,66,153,54992,9732,4620,22308,22125,4701,401,503,68977,81,14433,65905,88030
3870,Maharashtra,2001,12. Total Crimes Against Women,7469,306,12255,1958,659,165,12561,1,2181,2384,84840,82671,12524,12255,8128,0,0,94926,20149,3791,30600,30898,1445,4322,3920,186178,104,21594,180665,211563
3871,Manipur,2001,12. Total Crimes Against Women,3,147,10,0,8,0,157,0,112,157,70,71,112,10,11,0,0,81,3,0,102,17,1,65,40,157,110,4,144,161
3872,Meghalaya,2001,12. Total Crimes Against Women,22,20,48,0,2,0,68,0,108,110,417,393,66,48,24,0,0,441,26,0,54,52,2,103,92,499,13,28,475,527
3873,Mizoram,2001,12. Total Crimes Against Women,19,2,106,0,89,0,108,0,35,17,150,152,126,106,108,0,0,258,30,4,138,149,119,74,62,163,1,149,167,316
3874,Nagaland,2001,12. Total Crimes Against Women,2,4,16,1,4,0,20,0,39,29,95,86,30,16,6,0,0,102,0,4,38,16,7,37,57,102,2,7,97,113
3875,Odisha,2001,12. Total Crimes Against Women,2922,227,5061,1,499,195,5288,2,1655,1783,15270,13631,5357,5061,3421,0,0,18692,4707,12,7455,7307,784,279,376,24841,51,5491,23037,30344
3876,Puducherry,2001,12. Total Crimes Against Women,20,1,114,20,68,1,115,2,11,10,110,104,119,114,88,0,0,218,46,38,223,218,144,8,13,177,0,190,187,405
3877,Punjab,2001,12. Total Crimes Against Women,574,533,1310,47,242,320,1843,9,1377,1188,2625,2178,2361,1310,816,0,0,3488,1497,119,4664,3263,697,2647,3648,6383,400,2194,5433,8696
3878,Rajasthan,2001,12. Total Crimes Against Women,3591,268,7610,1042,2187,4563,7878,0,484,750,28069,27279,12175,7610,5778,0,0,34889,7006,1766,13831,13835,4116,117,109,57464,4,11122,56517,70352
3879,Sikkim,2001,12. Total Crimes Against Women,4,6,12,0,2,0,18,0,6,0,26,20,24,12,6,0,0,32,7,1,24,12,7,8,9,4,11,14,7,19
3880,Tamil Nadu,2001,12. Total Crimes Against Women,1824,158,9666,192,7225,468,9824,108,1077,1383,8622,8208,10111,9666,9049,11,17,17863,3429,214,14116,13403,8197,1990,2038,15392,665,11626,13829,27232
3881,Tripura,2001,12. Total Crimes Against Women,124,33,265,6,33,0,298,0,296,156,581,479,438,265,157,0,0,744,225,0,590,398,64,184,209,614,167,289,505,903
3882,Uttar Pradesh,2001,12. Total Crimes Against Women,4890,2908,15566,1107,6690,1548,18474,0,2638,2433,43454,40575,20227,15566,11580,0,0,56141,11266,3149,42283,38315,14657,4109,5254,110246,2823,25923,101003,139318
3883,Uttarakhand,2001,12. Total Crimes Against Women,226,124,572,32,326,58,696,0,77,82,1286,1298,749,572,552,0,0,1870,439,116,1436,1324,614,202,203,3139,111,1053,2984,4308
3884,West Bengal,2001,12. Total Crimes Against Women,2161,744,5976,21,282,297,6720,8,7040,7495,37643,34131,6570,5976,2443,0,0,40107,5675,13,11114,9618,544,7624,6875,50032,2245,6219,46646,56264
3885,Andaman & Nicobar Islands,2002,12. Total Crimes Against Women,14,6,23,0,4,0,29,0,4,6,175,170,27,23,18,0,0,193,18,0,30,43,4,18,4,225,1,22,204,247
3886,Andhra Pradesh,2002,12. Total Crimes Against Women,6231,240,15620,2144,5212,2932,15860,47,4307,4266,20649,18625,18880,15620,11443,9,0,34236,10203,2631,26627,23663,6772,6862,8657,33992,1169,16975,29935,53598
3887,Arunachal Pradesh,2002,12. Total Crimes Against Women,10,40,128,8,11,0,168,0,40,49,783,684,159,128,21,0,0,812,9,8,207,142,14,70,92,965,43,23,854,996
3888,Assam,2002,12. Total Crimes Against Women,1385,994,3014,156,320,412,4008,5,5586,4919,8137,6984,5092,3014,1705,0,0,9998,2200,269,6764,4205,396,4700,5777,11342,1482,2596,10002,14207
3889,Bihar,2002,12. Total Crimes Against Women,1869,745,4245,103,593,423,4990,0,3444,3114,16771,15091,5743,4245,2462,0,0,19336,4720,347,13009,11960,1263,6328,4700,45074,2677,5983,39444,51404
3890,Chandigarh,2002,12. Total Crimes Against Women,46,29,131,0,29,25,160,0,47,43,321,265,189,131,75,0,0,396,89,0,196,153,37,24,28,706,39,126,679,832
